x,y
0.694578,-4.041715
0.445358,-0.432537
0.117261,1.618869
-2.961663,-83.902048
0.301754,-0.010245
2.810031,58.126487
-0.611642,2.329179
-2.904976,-84.512279
-1.537486,23.757942
2.678702,-8.852539
2.376068,-44.811398
-0.157279,-0.696333
-2.297058,19.150803
-2.527154,59.491582
2.896725,83.407651
-2.613264,36.695202
-0.063100,-0.517978
-0.545960,3.250944
1.590619,-24.608898
-2.564913,49.438042
-0.009117,1.286232
2.175577,20.551533
-0.528154,2.660284
1.660867,-23.229490
0.268256,1.178054
-1.876143,-17.792225
1.639423,-24.063377
-1.490421,19.148469
0.635355,-3.273497
-1.319867,-4.996590
2.983187,81.526455
-1.098418,-12.078787
-1.131687,-12.314400
-0.146639,-0.042713
-0.755139,5.705161
1.047793,9.610587
0.436620,-1.054337
-0.500664,1.755282
-1.968199,-38.534709
-2.126822,-32.178923
-1.406125,6.297150
2.776872,43.920915
-0.098083,0.544729
-0.241260,-0.520547
0.867911,-2.010533
-0.725764,4.925516
0.846410,-3.334461
2.907202,84.957602
0.196254,0.860126
-0.860779,2.853541
0.125335,-0.773211
0.031625,-0.623771
-1.248050,-10.434007
-1.856955,-16.432070
1.275374,6.413690
-0.018121,0.346460
-1.466854,17.325151
1.597611,-25.557976
2.502842,-61.636502
0.502250,0.544476
-2.650455,18.682636
0.296609,1.716361
0.875314,-2.921873
1.872434,18.509892
-2.102378,-37.030319
2.188330,18.788399
0.381542,0.875757
-0.360958,-1.154291
-2.938047,-85.648708
-1.899747,-24.637416
-1.330535,-0.925623
2.570282,-50.990717
-0.690798,5.761266
0.248362,0.346754
0.805760,-5.094646
1.584452,-23.677115
-2.045026,-42.340166
-2.242202,-1.798208
1.031570,8.513322
-2.010080,-40.115402
2.667904,-11.258015
-0.706089,5.929698
1.429454,-11.802994
-1.668701,21.428321
-1.258705,-9.505928
2.509597,-62.214768
-1.915829,-27.741109
-0.463684,-1.717505
2.557160,-53.363689
-1.614352,23.786065
0.750350,-5.560322
-1.992317,-38.535934
-1.773859,5.005284
-1.571087,25.831523
2.494347,-62.787167
-2.382232,46.964160
0.068497,1.126352
-1.923907,-30.349258
-1.728700,12.239307
-2.685589,2.960149
-1.493595,19.350766
-2.786972,-48.794919
-2.202908,-13.120923
-0.983462,-6.328754
1.011347,3.999249
-1.729663,13.442319
-1.739520,11.366378
1.978758,37.617159
1.636567,-22.526239
0.779264,-4.878753
-0.848637,1.877267
-1.450999,14.183550
1.888203,20.535107
0.779931,-4.890760
-2.324997,28.377325
-2.717538,-12.524733
-2.738157,-24.055773
-1.235252,-11.368949
0.886365,-1.984030
-1.133868,-11.271576
2.764769,37.197061
-0.560363,2.885814
2.798367,53.931055
1.932401,31.401837
-1.482852,17.802672
0.669922,-4.567362
-1.965155,-33.169055
1.213043,10.844279
-2.443338,58.279383
1.339442,1.771365
1.928740,30.312388
1.020905,8.946125
-2.607194,36.664092
-1.767883,4.905286
-2.636986,26.493721
1.901107,23.155092
-2.990340,-76.035903
-0.423444,-0.809699
-0.876465,0.267423
-1.866344,-16.804078
1.215754,12.159858
2.613268,-34.398786
-2.437043,58.382236
-0.859258,1.630197
0.543574,-1.260209
2.888582,82.485664
-2.691127,0.736082
1.091219,13.342717
-0.578659,2.344327
0.879320,-2.202961
1.736536,-11.278444
2.805838,56.796306
0.021954,-1.737864
0.836299,-2.702770
1.003841,5.448174
2.205966,12.379457
-2.994867,-77.005089
2.854854,73.187078
-2.753416,-31.002543
2.487028,-61.412326
1.705897,-17.535711
-2.103579,-37.118413
2.439216,-57.748336
-1.071184,-11.241792
-2.350640,37.580105
-1.971577,-36.305335
-2.803511,-54.117742
0.018375,-1.957556
-2.105640,-35.936947
-0.497425,-0.752308
-0.547754,2.616675
-2.045828,-40.194349
-2.078424,-38.623506
0.482967,-0.353037
-2.708347,-9.050042
0.428379,0.358721
1.477512,-18.034944
1.065893,11.727989
-0.669136,5.122018
-2.817501,-59.898849
-2.310984,24.138053
-1.829514,-9.142040
-1.214663,-11.436856
-2.497992,61.415766
-1.766373,8.107846
-0.598422,3.750609
0.241197,1.173202
2.685243,-4.958626
-1.358227,1.207853
-2.316293,24.646786
0.165901,2.750016
1.001692,9.295836
-0.244842,0.314561
0.117124,1.253167
2.456583,-59.785249
-0.643019,4.306032
2.052239,39.772494
-1.527454,22.874509
1.590107,-25.424428
-0.903521,1.070796
